# Buff状态表数据配置示例
# 格式: Id,BuffName,BuffDescription,BuffIcon,BuffType,AttributeType,AttributeValue,ModifierType,Duration,CanStack,MaxStacks,CanBeDispelled,CanBeCleansed,TriggerInterval,TriggerEffectId,EffectPrefab,SoundEffect,Priority

# 增益Buff
1001,攻击力提升,增加攻击力,BuffIcon_Attack,0,3,20.0,0,30.0,true,5,true,true,0.0,0,Effect_AttackBuff,Sound_Buff,10
1002,防御力提升,增加防御力,BuffIcon_Defense,0,4,15.0,0,45.0,true,3,true,true,0.0,0,Effect_DefenseBuff,Sound_Buff,10
1003,移动加速,增加移动速度,BuffIcon_Speed,0,5,50.0,2,20.0,false,1,true,true,0.0,0,Effect_SpeedBuff,Sound_Buff,5
1004,攻击速度提升,增加攻击速度,BuffIcon_AttackSpeed,0,6,30.0,2,25.0,false,1,true,true,0.0,0,Effect_AttackSpeedBuff,Sound_Buff,8
1005,暴击率提升,增加暴击率,BuffIcon_Critical,0,7,15.0,2,15.0,false,1,true,true,0.0,0,Effect_CriticalBuff,Sound_Buff,12
1006,生命恢复,持续恢复生命值,BuffIcon_Heal,0,12,10.0,0,10.0,false,1,true,true,1.0,0,Effect_HealOverTime,Sound_Heal,5
1007,魔法恢复,持续恢复魔法值,BuffIcon_Mana,0,2,5.0,0,15.0,false,1,true,true,2.0,0,Effect_ManaOverTime,Sound_Mana,5
1008,免疫控制,免疫所有控制效果,BuffIcon_Immunity,0,13,0.0,0,5.0,false,1,false,false,0.0,0,Effect_Immunity,Sound_Immunity,20

# 减益Debuff
2001,持续伤害,持续受到伤害,DebuffIcon_Damage,1,11,5.0,0,8.0,true,3,true,true,1.0,0,Effect_DamageOverTime,Sound_Debuff,5
2002,减速,减少移动速度,DebuffIcon_Slow,1,16,30.0,2,10.0,false,1,true,true,0.0,0,Effect_SlowDebuff,Sound_Debuff,8
2003,眩晕,无法行动,DebuffIcon_Stun,1,14,0.0,0,3.0,false,1,true,true,0.0,0,Effect_StunDebuff,Sound_Debuff,15
2004,沉默,无法释放技能,DebuffIcon_Silence,1,15,0.0,0,5.0,false,1,true,true,0.0,0,Effect_SilenceDebuff,Sound_Debuff,12
2005,定身,无法移动,DebuffIcon_Root,1,17,0.0,0,4.0,false,1,true,true,0.0,0,Effect_RootDebuff,Sound_Debuff,10
2006,恐惧,随机移动,DebuffIcon_Fear,1,18,0.0,0,6.0,false,1,true,true,0.0,0,Effect_FearDebuff,Sound_Debuff,18
2007,魅惑,攻击友军,DebuffIcon_Charm,1,19,0.0,0,8.0,false,1,true,true,0.0,0,Effect_CharmDebuff,Sound_Debuff,20
2008,攻击力降低,减少攻击力,DebuffIcon_Weakness,1,3,25.0,2,12.0,true,2,true,true,0.0,0,Effect_WeaknessDebuff,Sound_Debuff,8
2009,防御力降低,减少防御力,DebuffIcon_Vulnerability,1,4,20.0,2,15.0,true,2,true,true,0.0,0,Effect_VulnerabilityDebuff,Sound_Debuff,8
2010,持续中毒,持续受到毒素伤害,DebuffIcon_Poison,1,11,8.0,0,20.0,true,5,true,true,2.0,0,Effect_PoisonDebuff,Sound_Debuff,6
