# 技能表数据配置示例
# 格式: Id,SkillName,SkillDescription,SkillIcon,SkillType,SkillCategory,BaseCooldown,BaseManaCost,BaseDamage,SkillRange,Duration,EffectPrefab,SoundEffect,MaxLevel,UnlockLevel,PrerequisiteSkills,TargetType,CanBeInterrupted,CastTime,AnimationName

# 主动技能
1,火球术,发射一个火球对敌人造成伤害,SkillIcon_Fireball,0,0,3.0,20,50,8.0,0.0,Effect_Fireball,Sound_Fireball,10,1,,1,true,1.0,FireballCast
2,治疗术,恢复自身生命值,SkillIcon_Heal,0,2,5.0,30,0,0.0,0.0,Effect_Heal,Sound_Heal,10,1,,0,true,0.5,HealCast
3,闪电链,释放闪电链攻击多个敌人,SkillIcon_Lightning,0,0,4.0,25,40,6.0,0.0,Effect_Lightning,Sound_Lightning,10,3,1,1,true,1.5,LightningCast
4,瞬移,瞬间移动到目标位置,SkillIcon_Teleport,0,3,8.0,40,0,10.0,0.0,Effect_Teleport,Sound_Teleport,5,5,1,3,false,0.0,TeleportCast
5,召唤火元素,召唤一个火元素协助战斗,SkillIcon_Summon,0,2,15.0,60,0,0.0,30.0,Effect_Summon,Sound_Summon,3,10,1,3,true,2.0,SummonCast

# 被动技能
6,火焰精通,增加火系技能伤害,SkillIcon_FireMastery,1,0,0.0,0,0,0.0,0.0,,,10,1,,0,false,0.0,
7,生命恢复,持续恢复生命值,SkillIcon_Regeneration,1,2,0.0,0,0,0.0,0.0,,,5,3,,0,false,0.0,
8,魔法护盾,减少受到的魔法伤害,SkillIcon_MagicShield,1,1,0.0,0,0,0.0,0.0,,,5,5,,0,false,0.0,
9,暴击精通,增加暴击率和暴击伤害,SkillIcon_Critical,1,0,0.0,0,0,0.0,0.0,,,10,7,6,0,false,0.0,
10,移动加速,增加移动速度,SkillIcon_Speed,1,3,0.0,0,0,0.0,0.0,,,5,2,,0,false,0.0,
